DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/07/2024,510 - 190 MANITOBA STREET,TORONTO,ONTARIO,M8Y4G7,GARRY SINGH,CIRCLE REAL ESTATE,"$3,200/MONTHLY",43.6241474,79.491919
06/07/2024,1502 - 420 MILL ROAD,TORONTO,ONTARIO,M9C1Z1,AMY GILMORE,RE/MAX HALLMARK REALTY LTD.,"$559,000",43.6441185,79.5888739
06/07/2024,701 - 80 MARINE PARADE DRIVE,TORONTO,ONTARIO,M8V0A3,DHIA JAJOU,RE/MAX REALTY SPECIALISTS INC.,"$629,999",43.6261937,79.4773004
06/07/2024,323 - 4208 DUNDAS STREET W,TORONTO,ONTARIO,M8X1Y6,CATHY MAY,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$594,500",43.6605004,79.5116276
06/07/2024,75 - 10 WILLIAM JACKSON WAY N,TORONTO,ONTARIO,M8V0J8,SHAZEEDA KANAAN,IPRO REALTY LTD.,"$3,850/MONTHLY",43.6006464,79.5126451
06/07/2024,3 - 88 MUNRO STREET,TORONTO,ONTARIO,M4M2S9,KAY CY ZHANG,HOMELIFE LANDMARK REALTY INC.,"$848,000",43.6616055,79.3531314
06/07/2024,99 - 25 BRIMWOOD BOULEVARD,TORONTO,ONTARIO,M1V1E2,WILLI H. MORBECK,RE/MAX REALTY ENTERPRISES INC.,"$798,000",43.8112903,79.2779389
06/07/2024,706 - 1346 DANFORTH ROAD,TORONTO,ONTARIO,M1J0A9,ANDREW DOUMONT,KELLER WILLIAMS REFERRED URBAN REALTY,"$579,900",43.7439408,79.2469117
06/07/2024,1340 WARDEN AVENUE,TORONTO,ONTARIO,M1R2R8,DAVID RUBEL,KELLER WILLIAMS CO-ELEVATION REALTY,"$998,000",43.7556439,79.2993147
06/07/2024,57A JEAVONS AVENUE,TORONTO,ONTARIO,M1K1T1,USAMA BILAL,CENTURY 21 LEADING EDGE REALTY INC.,"$1,800/MONTHLY",43.7064287,79.2664691
06/07/2024,42 HOLMCREST TRAIL,TORONTO,ONTARIO,M1C1V5,HEATHER ANN LEMIEUX,ROYAL LEPAGE CONNECT REALTY,"$1,500,000",43.7731494,79.1471854
06/07/2024,409 - 19 AVONDALE AVENUE,TORONTO,ONTARIO,M2N0A6,RONIT BARZILAY,HARVEY KALLES REAL ESTATE LTD.,"$475,000",43.7581185,79.4091085
06/07/2024,432 - 600 FLEET STREET,TORONTO,ONTARIO,M5V1B7,MITRA NOBAKHT-EIVALY,KELLER WILLIAMS REFERRED URBAN REALTY,"$425,000",43.6369395,79.4001658
06/07/2024,610 - 8 WELLESLEY STREET E,TORONTO,ONTARIO,M4Y3B2,SABRINA KAUFMAN,SLAVENS & ASSOCIATES REAL ESTATE INC.,"$749,000",43.665122,79.3842874
06/07/2024,2001 - 10 BLOORVIEW PLACE,TORONTO,ONTARIO,M2J0B1,LAWRENCE LAU,TRUSTWELL REALTY INC.,"$1,930,000",43.7737596,79.3592974
06/07/2024,211 - 100 HARRISON GARDEN BOULEVARD,TORONTO,ONTARIO,M2N0C2,YURIY TYMOSHYN,RIGHT AT HOME REALTY,"$625,000",43.7571072,79.4040667
06/07/2024,57 ST NICHOLAS STREET,TORONTO,ONTARIO,M4Y1W6,FATIMA BREGMAN,RE/MAX HALLMARK REALTY LTD.,"$1,969,000",43.6671811,79.3863031
06/07/2024,219 - 1030 KING STREET W,TORONTO,ONTARIO,M6K0B4,LALEH ROUHANI,RIGHT AT HOME REALTY,"$599,000",43.6415878,79.415938
06/07/2024,3 BRAEBURN BOULEVARD,TORONTO,ONTARIO,M1J2P9,RAHAT HUSSAIN,CENTURY 21 LEADING EDGE REALTY INC.,"$2,549,000",43.7486408,79.234818
06/07/2024,44 BAILEY CRESCENT,TORONTO,ONTARIO,M1G2P3,MARTIN ECKERT,RE/MAX PROFESSIONALS INC.,"$899,900",43.7708947,79.2278697
06/07/2024,110 - 618A FLEET STREET,TORONTO,ONTARIO,M5V1B9,HERNAN M. BEREZAN,SUTTON GROUP-ASSOCIATES REALTY INC.,"$970,000",43.636245,79.4025709
06/07/2024,2210 - 40 HOMEWOOD AVENUE,TORONTO,ONTARIO,M4K2K2,DEREK STEVEN LADOUCEUR,SAGE REAL ESTATE LIMITED,"$464,900",43.6642236,79.3754845
06/07/2024,239 CHRISTIE STREET,TORONTO,ONTARIO,M6G3B5,TONY TSANG,ACCSELL REALTY INC.,"$950,000",43.6697212,79.4205884
06/07/2024,311 - 700 KING STREET W,TORONTO,ONTARIO,M5V2Y6,HOWARD YOUHANAN,CONDOMAN REALTY INC.,"$599,999",43.6440604,79.403314
06/07/2024,3607 - 11 WELLESLEY STREET W,TORONTO,ONTARIO,M4Y0G4,SHARON YU,REAL ONE REALTY INC.,"$780,000",43.6645977,79.3852242
06/07/2024,3711 - 395 BLOOR STREET E,TORONTO,ONTARIO,M4W1H7,SKY QIU,RE/MAX IMPERIAL REALTY INC.,"$579,800",43.6719746,79.3774195
06/07/2024,1006 - 275 YORKLAND ROAD,TORONTO,ONTARIO,M2J0B4,HUBERT LEE,LANDPOWER REAL ESTATE LTD.,"$579,900",43.7746398,79.3369485
06/07/2024,42 KAREN ROAD,TORONTO,ONTARIO,M3A3L6,JOHN GAO,MEHOME REALTY (ONTARIO) INC.,"$1,599,000",43.7629872,79.3395282
06/07/2024,55 HAREWOOD AVENUE,TORONTO,ONTARIO,M1M2R4,MAJIBUR RAHMAN MOLLAH,RE/MAX REALTRON REALTY INC.,"$2,199,000",43.7201679,79.2334625
06/07/2024,3608 - 82 DALHOUSIE STREET,TORONTO,ONTARIO,M5B0C5,LEARIE GAIRY,OUR NEIGHBOURHOOD REALTY INC.,"$1,925/MONTHLY",43.6557378,79.3764533
06/07/2024,310 - 500 DUPONT STREET,TORONTO,ONTARIO,M6G1Y7,FOROUGH FARRAH RANJBAR,SOTHEBY'S INTERNATIONAL REALTY CANADA,"$2,300/MONTHLY",43.6733119,79.415925
06/07/2024,3602 - 20 LOMBARD STREET,TORONTO,ONTARIO,M5C0A7,HARRY LUO,REAL ONE REALTY INC.,"$2,500/MONTHLY",43.6516524,79.3769603
06/07/2024,LOWER - 41 HOLCOLM ROAD,TORONTO,ONTARIO,M2N2C8,SHIRLEY LIANG,"T-ONE GROUP REALTY INC.,","$2,700/MONTHLY",43.7763076,79.4189143
06/07/2024,1009 - 69 LYNN WILLIAMS STREET,TORONTO,ONTARIO,M6K3R6,HEIDI KURIEN,MIDNIGHT KISMET REAL ESTATE,"$2,250/MONTHLY",43.6388481,79.4155571
06/07/2024,906 - 2525 BATHURST STREET,TORONTO,ONTARIO,M6B2Y9,MARTIN MALCHEV,RE/MAX REALTRON REALTY INC.,"$2,465/MONTHLY",43.7059936,79.4261248
06/07/2024,39 ARDEN CRESCENT,TORONTO,ONTARIO,M1L3R6,SANDY SZEWCZYK,RE/MAX PREMIER INC.,"$1,149,900",43.7130813,79.2878157
06/07/2024,201 - 5 DEFRIES STREET,TORONTO,ONTARIO,M5A0W7,MATTHEW CHUEN-CHUEN HUA,IKON REAL ESTATE INC.,"$1,099,000",43.6605705,79.3563724
06/07/2024,403 - 295 ADELAIDE STREET W,TORONTO,ONTARIO,M5V1P7,MARIA CHENG,HOMELIFE GOLD PACIFIC REALTY INC.,"$628,000",43.6476752,79.390532
06/07/2024,105 - 262 ST HELENS AVENUE,TORONTO,ONTARIO,M6H4A4,AMY GILMORE,RE/MAX HALLMARK REALTY LTD.,"$899,900",43.6564701,79.443819
06/07/2024,1630 - 251 JARVIS STREET,TORONTO,ONTARIO,M5A4R6,MUSTAFA ZIA,RE/MAX CENTRE MUSTAFA ZIA REALTY,"$755,000",43.6573767,79.3744501
06/07/2024,2006 - 110 BLOOR STREET W,TORONTO,ONTARIO,M5S2W7,CARI COGAN,FOREST HILL REAL ESTATE INC.,"$2,450,000",43.6693548,79.3922774
06/07/2024,217 - 1177 YONGE STREET,TORONTO,ONTARIO,M4T2Y4,DAVID IKEDA,SUTTON GROUP OLD MILL REALTY INC.,"$409,900",43.6824625,79.3913921
06/07/2024,201 - 181 DAVENPORT ROAD,TORONTO,ONTARIO,M5R1J1,JERZY MAKARCZYK,HERMES YORKVILLE REAL ESTATE,"$1,950,000",43.6749463,79.3938409
06/07/2024,69 CASTLEWOOD ROAD,TORONTO,ONTARIO,M5N2L1,EVAN SAGE,SAGE REAL ESTATE LIMITED,"$2,795,000",43.7051977,79.4151389
06/07/2024,512 - 105 GEORGE STREET,TORONTO,ONTARIO,M5A2N4,ROBERT GARY STORTINI,RE/MAX HALLMARK REALTY LTD.,"$559,800",43.6522051,79.3707929
06/07/2024,2403 - 55 REGENT PARK BOULEVARD,TORONTO,ONTARIO,M5A0C2,SAMSON MING YUN KUK,TRADEWORLD REALTY INC,"$545,000",43.6596212,79.3609563
06/07/2024,2203 - 55 ONTARIO STREET,TORONTO,ONTARIO,M6S0A2,SELENA POLLARD,RIGHT AT HOME REALTY,"$669,000",43.653598,79.3662319
06/07/2024,605 - 455 ROSEWELL AVENUE,TORONTO,ONTARIO,M4R2H9,ELISABETH NESTICO,MCCANN REALTY GROUP LTD.,"$695,000",43.7210002,79.412051
06/07/2024,610 - 397 FRONT STREET,TORONTO,ONTARIO,M5V3S1,VINAY LAKHANI,RE/MAX REALTRON REALTY INC.,"$669,000",43.6426397,79.3935863
06/07/2024,203 MCKEE AVENUE,TORONTO,ONTARIO,M2N4C9,SAMIE HAJI,RC BEST CHOICE REALTY CORP,"$2,000,000",43.7754755,79.4008308
06/07/2024,707 - 253 MERTON STREET,TORONTO,ONTARIO,M4S3H2,TREVOR JAYE FREEMAN,FREEMAN REAL ESTATE LTD.,"$1,249,000",43.6974417,79.3888409
