DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
04/07/2024,10 EDGEHILL ROAD,TORONTO,ONTARIO,M9A4N3,DAWNA MARIE BORG,RE/MAX PREMIER INC.,"$3,688,000",43.6657005,79.5173172
6/26/2024,10 FLAGSTAFF ROAD,TORONTO,ONTARIO,M1L1S9,RAY COCHRANE,RE/MAX HALLMARK REALTY LTD.,"$1,099,900",43.7100672,79.2726656
27/06/2024,10 GARDENTREE STREET,TORONTO,ONTARIO,M1E2E9,ABUL HASNAT,RE/MAX METROPOLIS REALTY,"$899,000",43.7583034,79.1870389
29/06/2024,10 LUDSTONE DRIVE,TORONTO,ONTARIO,M9R2H9,MONICA THAPAR,SNOBAR REALTY GROUP INC.,"$1,379,888",43.6895962,79.5673207
04/07/2024,10 ROCKINGHAM DRIVE,TORONTO,ONTARIO,M9A1P3,PAUL NUSCA,BERKSHIRE HATHAWAY HOMESERVICES WEST REALTY,"$3,650,000",43.6604209,79.5342648
27/06/2024,10 ROYCREST AVENUE,TORONTO,ONTARIO,M2N1R2,KAREN S DANIEL,HARVEY KALLES REAL ESTATE LTD.,"$1,999,000",43.7587218,79.4271535
27/06/2024,10 STAMFORD SQUARE S,TORONTO,ONTARIO,M1L1X3,ABDUL MANNAN,CENTURY 21 LEADING EDGE REALTY INC.,"$2,368,000",43.7110481,79.2949251
27/06/2024,10 TOTTERIDGE ROAD,TORONTO,ONTARIO,M9A1Z1,SUSAN TALLARICO,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$2,725,000",43.669653,79.54406
29/06/2024,10 WILBY CRESCENT,TORONTO,ONTARIO,M6N0B6,BETSY WANG,RE/MAX ESCARPMENT REALTY INC.,"$599,000",43.697835,79.512316
03/07/2024,10 WILBY CRESCENT,"UNIT #309
TORONTO",ONTARIO,M6N0B6,BETSY WANG,RE/MAX ESCARPMENT REALTY INC.,"$599,000",43.697835,79.512316
6/26/2024,100 BASTEDO AVENUE,TORONTO,ONTARIO,M4C3N1,MELANIE T. J. WRIGHT,UNION REALTY BROKERAGE INC.,"$999,900",43.6823846,79.3186641
03/07/2024,100 CANON JACKSON DRIVE DRIVE UNIT# 64,TORONTO,ONTARIO,M6M0C1,BALDEEP RATOL,EXECUTIVE REAL ESTATE SERVICES LTD.,"$599,999",43.69773371,79.47313681
04/07/2024,100 HOLLIS AVENUE,TORONTO,ONTARIO,M1N2C8,VITO VESSIO,RE/MAX PRIME PROPERTIES - UNIQUE GROUP,"$1,375,000",43.6946603,79.2659396
6/26/2024,1001 - 105 THE QUEENSWAY,TORONTO,ONTARIO,M6S5B5,MICHAEL ANDREW ROY,SUTTON GROUP OLD MILL REALTY INC.,"$529,999",43.6362553,79.4708719
02/07/2024,1001 - 200 LOTHERTON PATHWAY,TORONTO,ONTARIO,M6B2G9,KARU KANDIAH,HOMELIFE GALAXY REAL ESTATE LTD.,"$494,900",43.7070302,79.4663135
04/07/2024,1001 - 2020 BATHURST STREET,TORONTO,ONTARIO,M5P0A6,WAYNE SKINNER,CENTURY 21 LEADING EDGE REALTY INC.,"$1,099,999",43.7007418,79.4257598
03/07/2024,1001 - 3151 BRIDLETOWNE CIRCLE,TORONTO,ONTARIO,M1W2T1,FRANK LEO,RE/MAX WEST REALTY INC.,"$599,000",43.7976179,79.3198605
